date,game_pk,home_team_name,away_team_name,market,market_type,side,line,model_prob,pm_price,pm_implied_prob,edge,depth_usd,sportsbook_prob,n_books,logged_at,actual_result,correct,pnl
2026-07-20,824410,Cleveland Guardians,Minnesota Twins,polymarket,moneyline,away,,0.540272614622057,0.22,0.22,0.320272614622057,13895.5894,0.425326533456422,3,2026-07-20T23:04:00,home,False,-50.0
2026-07-20,822788,Toronto Blue Jays,Tampa Bay Rays,polymarket,moneyline,away,,0.4558823529411766,0.39,0.39,0.0658823529411766,69680.65650000001,0.5104162959527104,6,2026-07-20T23:04:00,away,True,78.20512820512819
2026-07-20,824736,Boston Red Sox,Baltimore Orioles,polymarket,moneyline,away,,0.5021645021645023,0.41,0.41,0.0921645021645022,127424.4412,0.4021329849844781,9,2026-07-20T23:04:00,home,False,-50.0
2026-07-20,823436,Philadelphia Phillies,Los Angeles Dodgers,polymarket,moneyline,away,,0.540272614622057,0.43,0.43,0.110272614622057,169661.6385,0.4465121590932971,3,2026-07-20T23:04:00,home,False,-50.0
2026-07-20,823762,Milwaukee Brewers,New York Mets,polymarket,moneyline,away,,0.3816614420062696,0.34,0.34,0.0416614420062695,106772.5677,0.43417031867474,6,2026-07-20T23:04:00,home,False,-50.0
2026-07-21,823437,Philadelphia Phillies,Los Angeles Dodgers,polymarket,moneyline,away,,0.5542248835662009,0.47,0.47,0.0842248835662009,101891.3658,0.4745031717171305,9,2026-07-21T18:11:32,away,True,56.38297872340425
2026-07-21,823519,New York Yankees,Pittsburgh Pirates,polymarket,moneyline,away,,0.5021645021645023,0.45,0.45,0.0521645021645022,101786.814,0.4008935454347263,4,2026-07-21T18:11:32,home,False,-50.0
2026-07-21,824735,Boston Red Sox,Baltimore Orioles,polymarket,moneyline,away,,0.5542248835662009,0.49,0.49,0.0642248835662009,93433.0285,0.5009953430751108,9,2026-07-21T18:11:32,home,False,-50.0
2026-07-21,824165,Houston Astros,Miami Marlins,polymarket,moneyline,away,,0.5542248835662009,0.47,0.47,0.0842248835662009,22760.2858,0.4654141267320471,9,2026-07-21T18:11:32,home,False,-50.0
2026-07-21,824005,Los Angeles Angels,St. Louis Cardinals,polymarket,moneyline,away,,0.540272614622057,0.49,0.49,0.050272614622057,81715.4478,0.4753624845261933,3,2026-07-21T18:11:32,home,False,-50.0
2026-07-22,823518,New York Yankees,Pittsburgh Pirates,polymarket,moneyline,away,,0.4724409448818898,0.38,0.38,0.0924409448818898,40772.594000000005,0.3893596048951065,9,2026-07-22T18:28:36,away,True,81.57894736842107
2026-07-22,824735,Boston Red Sox,Baltimore Orioles,polymarket,moneyline,away,,0.4558823529411766,0.13,0.13,0.3258823529411766,93.106,0.4393554711508792,9,2026-07-22T18:28:36,home,False,-50.0
2026-07-22,825055,Arizona Diamondbacks,Athletics,polymarket,moneyline,away,,0.5021645021645023,0.44,0.44,0.0621645021645022,46497.66,0.4533849927481601,9,2026-07-22T18:28:36,home,False,-50.0
2026-07-22,823110,Seattle Mariners,Cincinnati Reds,polymarket,moneyline,away,,0.4558823529411766,0.4,0.4,0.0558823529411766,130548.1078,0.4022606692098063,9,2026-07-22T18:28:36,away,True,75.0
2026-07-22,824004,Los Angeles Angels,St. Louis Cardinals,polymarket,moneyline,away,,0.5021645021645023,0.45,0.45,0.0521645021645022,201047.643,0.4479707736940618,9,2026-07-22T18:28:36,away,True,61.11111111111112
2026-07-22,822784,Toronto Blue Jays,Tampa Bay Rays,polymarket,moneyline,away,,0.540272614622057,0.49,0.49,0.050272614622057,73662.1949,0.4980347190528864,9,2026-07-22T18:28:36,away,True,52.04081632653062
2026-07-23,824893,Atlanta Braves,San Diego Padres,polymarket,moneyline,away,,0.3816614420062696,0.1,0.1,0.2816614420062696,1960.1979,0.1083206206872574,6,2026-07-23T18:02:08,home,False,-50.0
2026-07-23,824406,Cleveland Guardians,Minnesota Twins,polymarket,moneyline,away,,0.5021645021645023,0.43,0.43,0.0721645021645022,212.721,0.3923516464215273,6,2026-07-23T18:02:08,away,True,66.27906976744187
2026-07-23,822785,Toronto Blue Jays,Tampa Bay Rays,polymarket,moneyline,away,,0.5542248835662009,0.51,0.51,0.0442248835662009,4585.3488,0.517785699531236,9,2026-07-23T18:02:08,home,False,-50.0
2026-07-23,824247,Detroit Tigers,Kansas City Royals,polymarket,moneyline,away,,0.3816614420062696,0.33,0.33,0.0516614420062696,10471.164,0.3337193215976427,9,2026-07-23T18:02:08,home,False,-50.0
2026-07-24,824248,Detroit Tigers,Kansas City Royals,polymarket,moneyline,away,,0.3816614420062696,0.3,0.3,0.0816614420062696,40376.235,0.3795973158022991,2,2026-07-24T18:09:23,home,False,-50.0
2026-07-24,823434,Philadelphia Phillies,New York Yankees,polymarket,moneyline,away,,0.5021645021645023,0.45,0.45,0.0521645021645022,34673.085,0.5198237885462554,1,2026-07-24T18:09:23,away,True,61.11111111111112
2026-07-24,824812,Baltimore Orioles,Atlanta Braves,polymarket,moneyline,away,,0.5357142857142857,0.49,0.49,0.0457142857142857,50457.7892,0.5,1,2026-07-24T18:09:23,away,True,52.04081632653062
2026-07-24,824733,Boston Red Sox,Toronto Blue Jays,polymarket,moneyline,away,,0.540272614622057,0.47,0.47,0.070272614622057,37616.5111,0.4883486259672586,2,2026-07-24T18:09:23,home,False,-50.0
2026-07-24,823031,St. Louis Cardinals,Cincinnati Reds,polymarket,moneyline,away,,0.5021645021645023,0.42,0.42,0.0821645021645022,26401.9476,0.4801762114537445,1,2026-07-24T18:09:23,away,True,69.04761904761905
2026-07-24,823196,San Francisco Giants,Los Angeles Angels,polymarket,moneyline,away,,0.4558823529411766,0.41,0.41,0.0458823529411766,12751.3854,0.4757785467128027,2,2026-07-24T18:09:23,home,False,-50.0
2026-07-25,823197,San Francisco Giants,Los Angeles Angels,polymarket,moneyline,away,,0.5021645021645023,0.05,0.05,0.4521645021645022,389.52947,0.4828631244229775,6,2026-07-25T21:14:33,home,False,-50.0
2026-07-25,822704,Washington Nationals,Arizona Diamondbacks,polymarket,moneyline,away,,0.5542248835662009,0.24,0.24,0.3142248835662009,767.5824,0.5311886084464471,6,2026-07-25T21:14:33,home,False,-50.0
2026-07-25,824811,Baltimore Orioles,Atlanta Braves,polymarket,moneyline,away,,0.540272614622057,0.5,0.5,0.040272614622057,75273.49,0.4916663785734606,5,2026-07-25T21:14:33,home,False,-50.0
2026-07-25,823027,St. Louis Cardinals,Cincinnati Reds,polymarket,moneyline,away,,0.540272614622057,0.51,0.51,0.0302726146220569,56964.8682,0.449507953954148,5,2026-07-25T21:14:33,home,False,-50.0
2026-07-26,823354,Pittsburgh Pirates,Chicago Cubs,polymarket,moneyline,away,,0.5021645021645023,0.46,0.46,0.0421645021645022,107088.3537,0.4578352680643317,9,2026-07-26T16:31:46,home,False,-50.0
2026-07-26,824246,Detroit Tigers,Kansas City Royals,polymarket,moneyline,away,,0.4558823529411766,0.37,0.37,0.0858823529411766,10881.2745,0.3727814141672088,9,2026-07-26T16:31:46,away,True,85.13513513513513
2026-07-26,823755,Milwaukee Brewers,Colorado Rockies,polymarket,moneyline,away,,0.3816614420062696,0.25,0.25,0.1316614420062696,40613.255,0.248758244438934,9,2026-07-26T16:31:46,home,False,-50.0
2026-07-26,823433,Philadelphia Phillies,New York Yankees,polymarket,moneyline,away,,0.4173913043478261,0.36,0.36,0.0573913043478261,49101.102,0.3684421774207549,9,2026-07-26T16:31:46,home,False,-50.0
2026-08-01,822781,Toronto Blue Jays,St. Louis Cardinals,polymarket,moneyline,away,,0.5021645021645023,0.41,0.41,0.0921645021645022,123274.5688,0.4065403482657804,9,2026-08-01T16:30:33,home,False,-50.0
2026-08-01,823594,New York Mets,Miami Marlins,polymarket,moneyline,away,,0.5542248835662009,0.46,0.46,0.0942248835662009,72989.5058,0.4497597541423489,9,2026-08-01T16:30:33,away,True,58.69565217391304
2026-08-01,823109,Seattle Mariners,Minnesota Twins,polymarket,moneyline,away,,0.4558823529411766,0.4,0.4,0.0558823529411766,60335.7183,0.3978722554885521,9,2026-08-01T16:30:33,home,False,-50.0
2026-08-01,824405,Cleveland Guardians,Arizona Diamondbacks,polymarket,moneyline,away,,0.4558823529411766,0.39,0.39,0.0658823529411766,103471.3914,0.3858407205767162,9,2026-08-01T16:30:33,away,True,78.20512820512819
2026-08-02,824404,Cleveland Guardians,Arizona Diamondbacks,polymarket,moneyline,away,,0.4558823529411766,0.39,0.39,0.0658823529411766,49967.1159,0.3903253986418207,9,2026-08-02T16:30:31,home,False,-50.0
2026-08-02,823592,New York Mets,Miami Marlins,polymarket,moneyline,away,,0.5542248835662009,0.52,0.52,0.0342248835662009,73859.0944,0.5230009205247818,9,2026-08-02T16:30:31,away,True,46.15384615384615
2026-08-02,824163,Houston Astros,Texas Rangers,polymarket,moneyline,away,,0.5021645021645023,0.46,0.46,0.0421645021645022,141597.48460000005,0.4458254696253748,9,2026-08-02T16:30:31,home,False,-50.0
2026-08-02,824323,Colorado Rockies,Kansas City Royals,polymarket,moneyline,away,,0.5021645021645023,0.46,0.46,0.0421645021645022,126208.7146,0.4642990705199028,9,2026-08-02T16:30:31,home,False,-50.0
2026-08-02,824971,Athletics,Detroit Tigers,polymarket,moneyline,away,,0.5542248835662009,0.52,0.52,0.0342248835662009,26895.934,0.5112307011232095,9,2026-08-02T16:30:31,away,True,46.15384615384615
2026-08-03,823431,Philadelphia Phillies,Washington Nationals,polymarket,moneyline,away,,0.4558823529411766,0.41,0.41,0.0458823529411766,989.4161,0.3401115203044107,5,2026-08-03T19:00:43,home,False,-50.0
2026-08-03,823520,New York Yankees,St. Louis Cardinals,polymarket,moneyline,away,,0.3816614420062696,0.34,0.34,0.0416614420062695,107743.2482,0.341141805059211,9,2026-08-03T19:00:43,away,True,97.05882352941175
2026-08-04,824484,Cincinnati Reds,Athletics,polymarket,moneyline,away,,0.5021645021645023,0.45,0.45,0.0521645021645022,14421.231,0.4521211318745852,9,2026-08-04T18:20:50,home,False,-50.0
